date,city,rainfall
2/8/2018,桃園市,9
2/8/2018,高雄市,0
2/8/2018,基隆市,19.5
2/8/2018,連江縣,0
2/8/2018,雲林縣,3.5
2/8/2018,新北市,9.5
2/8/2018,新竹縣,4
2/8/2018,嘉義縣,3.5
2/8/2018,彰化縣,3
2/8/2018,臺中市,4
2/8/2018,臺北市,9.5
2/8/2018,臺東縣,1.5
2/8/2018,臺南市,3.5
2/8/2018,澎湖縣,1.5
2/9/2018,宜蘭縣,0.5
2/9/2018,花蓮縣,0.09
2/9/2018,金門縣,0.1
2/9/2018,南投縣,5
2/9/2018,屏東縣,0
2/9/2018,苗栗縣,1
2/9/2018,桃園市,3
2/9/2018,高雄市,0
2/9/2018,基隆市,5
2/9/2018,連江縣,0
2/9/2018,雲林縣,4
2/9/2018,新北市,5.5
2/9/2018,新竹縣,2
2/9/2018,嘉義縣,1
2/9/2018,彰化縣,2
2/9/2018,臺中市,0.5
2/9/2018,臺北市,3.9
2/9/2018,臺東縣,0.5
2/9/2018,臺南市,0
2/9/2018,澎湖縣,1
2/10/2018,宜蘭縣,2
2/10/2018,花蓮縣,0
2/10/2018,金門縣,8
2/10/2018,南投縣,2
2/10/2018,屏東縣,0
2/10/2018,苗栗縣,0.5
2/10/2018,桃園市,4
2/10/2018,高雄市,0
2/10/2018,基隆市,33
2/10/2018,連江縣,0
2/10/2018,雲林縣,0.5
2/10/2018,新北市,5.5
2/10/2018,新竹縣,1.5
2/10/2018,嘉義縣,0.5
2/10/2018,彰化縣,0.5
2/10/2018,臺中市,0.09
2/10/2018,臺北市,5.9
2/10/2018,臺東縣,0.8
2/10/2018,臺南市,0.5
2/10/2018,澎湖縣,0.4
2/11/2018,宜蘭縣,1.9
2/11/2018,花蓮縣,0.5
2/11/2018,金門縣,0
2/11/2018,南投縣,5.5
2/11/2018,屏東縣,3.5
2/11/2018,苗栗縣,1.5
2/11/2018,桃園市,4.5
2/11/2018,高雄市,3.5
2/11/2018,基隆市,16.5
2/11/2018,連江縣,0
2/11/2018,雲林縣,2.5
2/11/2018,新北市,7
2/11/2018,新竹縣,2
2/11/2018,嘉義縣,0.5
2/11/2018,彰化縣,1
2/11/2018,臺中市,1
2/11/2018,臺北市,4.5
2/11/2018,臺東縣,0.09
2/11/2018,臺南市,0.5
2/11/2018,澎湖縣,0
2/12/2018,宜蘭縣,0
2/12/2018,花蓮縣,1
2/12/2018,金門縣,0
2/12/2018,南投縣,0
2/12/2018,屏東縣,0
2/12/2018,苗栗縣,0
2/12/2018,桃園市,0.5
2/12/2018,高雄市,0
2/12/2018,基隆市,0
2/12/2018,連江縣,0
2/12/2018,雲林縣,0
2/12/2018,新北市,0
2/12/2018,新竹縣,0
2/12/2018,嘉義縣,0
2/12/2018,彰化縣,0
2/12/2018,臺中市,0
2/12/2018,臺北市,0
2/12/2018,臺東縣,0.09
2/12/2018,臺南市,0
2/12/2018,澎湖縣,0
2/13/2018,宜蘭縣,0
2/13/2018,花蓮縣,2
2/13/2018,金門縣,0
2/13/2018,南投縣,0
